url,sha,name,#tests,#tests_run_twice,#tests_run_twice_count_put_as_one,#tests_run_once,#tests_run_once_count_put_as_one,#ni,#ni_count_put_as_one
git@github.com:KnightConan/named_enum,81452ebe233b570b21786adcfb0b15d1aeeabc82,named_enum,7,0,0,7,7,0,0
git@github.com:KorfLab/grimoire,6ebfa357e966036c846c658710c136f540290615,grimoire,34,0,0,34,34,0,0
git@github.com:KristianOellegaard/django-health-check,73e89fc3325a242eea6765e83b6bf568f72b8573,django-health-check,74,60,43,14,14,1,1
git@github.com:LCAV/pylocus,78db89636cab345cab8d61adc3accd95899e2738,pylocus,2,0,0,2,2,0,0
git@github.com:LGSInnovations/jupyter-sigplot,498cda8f3648282cba84745d97e8973d2a02ed89,jupyter-sigplot,24,24,24,0,0,0,0
git@github.com:LeBarbouze/tunacell,837d57e1e6caeddf2e6bcdd2db2986fb456dd605,tunacell,39,39,39,0,0,1,1
git@github.com:Leechael/python-cuckoo,fa7a87cd482e8a204c94b860c3066c3c1813ff36,python-cuckoo,23,23,23,0,0,0,0
git@github.com:Limych/python-beward,d7c1d12a0a39a7c60c4f278ebea009c0a5509780,python-beward,30,0,0,30,30,0,0
git@github.com:M0r13n/pyais,d2ca5ff08c532fce5da1c9d268eb453924f12a33,pyais,6,0,0,6,6,0,0
git@github.com:MATTHEWFRAZER/ploceidae,dad989756318127dc70d05b4ccdd1a3d8142dab1,ploceidae,1,0,0,1,1,0,0
git@github.com:MSLNZ/msl-loadlib,e7d84862adfd82c1a3bc9dae93008ec395a8f414,msl-loadlib,45,41,41,4,4,0,0
git@github.com:Malachov/predictit,15ff850d544d8d456e0ac0842079131c0f3db26e,predictit,10,10,10,0,0,0,0
git@github.com:Martlark/flask-ipban,882a25495be55609e5d9a058b8139b78836d64d4,flask-ipban,2,0,0,2,2,0,0
git@github.com:MechanicalRock/truffleHog,5e7f32d4005f82e66b2b9ccd44fcac8e02c1aa34,truffleHog,17,0,0,17,17,0,0
git@github.com:Menelau/DESlib,77d0ccb491c522e7505d9ac6081b72cac001cb9e,DESlib,1,0,0,1,1,0,0
git@github.com:MiCHiLU/fanstatic-tools,c075a2195c8138d103b72ef8445ef08f2a865984,fanstatic-tools,100,100,100,0,0,1,1
git@github.com:MirkoRossini/zanna,4c28b5ea3940fba69bee3fdf965a039c9b8f45c5,zanna,58,0,0,58,58,0,0
git@github.com:Mottl/GetOldTweets3,54a8e73d56953c7f664e073e121fa1413de4fbff,GetOldTweets3,2,2,2,0,0,0,0
git@github.com:NCAR/intake-cesm,00fe97676b165bf41fb985a5e03b07a4a9772b71,intake-cesm,147,147,61,0,0,0,0
git@github.com:NCAR/intake-esm,00fe97676b165bf41fb985a5e03b07a4a9772b71,intake-esm,147,147,61,0,0,0,0
git@github.com:NHERI-SimCenter/pelicun,29a3d61b9d38debfc115ce03a674a33642773ec5,pelicun,9,6,6,3,3,0,0
git@github.com:NLeSC/spreading_dye_sampler,4282f7609959a31d1b2a4832f3ed643b15c46cb6,spreading_dye_sampler,5,5,5,0,0,0,0
git@github.com:Netflix-Skunkworks/policyuniverse,b633e572ecdba45d70398ac034fb44e0e4e7dbf8,policyuniverse,32,0,0,32,32,0,0
git@github.com:Netflix/sureal,e7251384cd5f6a293e05d1450d5e8f353d137c1c,sureal,153,0,0,153,153,0,0
git@github.com:Neuraxio/Neuraxle,20c6e5713198345b43bf6899355f1b5cf65eb02c,Neuraxle,418,418,282,0,0,28,3
git@github.com:Nobatek/flask-rest-api,82127373237670840b87f1f98a446729bf85b6cf,flask-rest-api,492,492,71,0,0,0,0
git@github.com:NordicHPC/envkernel,1bc0e4e3d3fa8f086b5a4e8d9ec68f31fb500de3,envkernel,66,66,26,0,0,0,0
git@github.com:OpenDataServices/lib-cove,74ba874ec6882969894797ee0dbc5c70a16019e5,lib-cove,3,0,0,3,3,0,0
git@github.com:OpenKMIP/PyKMIP,fe60ecf02d4f29ab1c9748aaab5d3d3b0e00b5af,PyKMIP,3438,71,9,3367,3367,0,0
git@github.com:Oprax/pidom,b92741ee3c3e16cbaa2a2fa69ca1a103cfa52463,pidom,7,7,7,0,0,0,0
git@github.com:OrBin/gramhopper,9396533d10bb469c77985ad931033f400479809b,gramhopper,39,39,26,0,0,0,0
git@github.com:Osirium/vcdriver,2f311df9a73c82b5837d01bac16a10eb4db955eb,vcdriver,82,82,82,0,0,1,1
git@github.com:ParrotPrediction/pyalcs,7e5249a1df11efd71508f82330919b13def8647e,pyalcs,457,457,285,0,0,0,0
git@github.com:Parsely/serpextract,aec8f2bd79c66953938569a24b05c693ab70b4ce,serpextract,14,0,0,14,14,0,0
git@github.com:PeRDy/clinner,0a9abfb7495f76d4233523ad5fb7ce219741589f,clinner,56,56,56,0,0,0,0
git@github.com:PeRDy/task-dispatcher,947d7b91c2ab3e1891fb0fd5333a5c2a78380fea,task-dispatcher,1,0,0,1,1,0,0
git@github.com:PetterKraabol/Twitch-Python,49ddf2c826f147e009d0931eee59cf81ad5fea7d,Twitch-Python,10,0,0,10,10,0,0
git@github.com:PiotrDabkowski/torchpwl,73b09cfa9f4c173988d8f075485b887c694fc5a8,torchpwl,142,142,9,0,0,0,0
git@github.com:Poio-NLP/poio-lib,2af55c863593511dbcf4c611c9265072022d8cdb,poio-lib,17,0,0,17,17,0,0
git@github.com:PolyJIT/benchbuild,2ab959e84fc9119813c46de1034ffaefc2ee391b,benchbuild,116,54,54,62,62,1,1
git@github.com:Poogles/bloomtime,94343456192c0a4837ddad2c421d59c7a3fd02fa,bloomtime,6,6,6,0,0,0,0
git@github.com:Poogles/limitediterables,3ce3bc28d5c4092db3d5499ad60339c007f4c0e0,limitediterables,4,4,4,0,0,0,0
git@github.com:Prodesire/pydu,4a1c2f15f7274d5079fb08b02ab1dbe08c0cefef,pydu,197,166,153,31,31,3,3
git@github.com:PyDataBlog/Coinsta,7cdce24669e5ab40852f0b88329c68e5bb568f5b,Coinsta,13,0,0,13,13,0,0
git@github.com:PyFunceble/domain2idna,39a1c4e1ebb877ed511e53b618fbe437a685c970,domain2idna,15,0,0,15,15,0,0
git@github.com:Qordobacode/fitbert,4b0f2f3f47e5a3fea0ee59d65f71c44b830a93d9,fitbert,5,5,5,0,0,2,2
git@github.com:QsonLabs/qlmetrics,3a4cc70bb68ef9b476aaee562b82a4d54acfd826,qlmetrics,28,28,16,0,0,0,0
git@github.com:RBGKew/pykew,557c1852ad7a4366467e344e7a46b42549ce8694,pykew,20,20,20,0,0,0,0
git@github.com:ROldford/cycle_calendar_generator,729194154cc540a1d21fa77a77dba3ff820d56be,cycle-calendar-generator,20,0,0,20,20,0,0
git@github.com:RWTH-EBC/uesgraphs,498fc57cd251dc93f51279275a965d77775e68b8,uesgraphs,27,27,27,0,0,0,0
git@github.com:RebelCodeBase/testaid,998c827b826fe4374ecf0a234fef61a975e2fcd7,testaid,126,126,126,0,0,0,0
git@github.com:Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,PyGraph,58,58,58,0,0,9,9
git@github.com:Robpol86/etaprogress,224e8a248c2bf820bad218763281914ad3983fff,etaprogress,68,68,68,0,0,3,3
git@github.com:SBRG/ssbio,08c1ce375a8ee6a4b77c5d2fdc93fcb5e5fe97c0,ssbio,11,0,0,11,11,0,0
git@github.com:SamurAi-sarl/PyInvestor,09259ad387dab597a7a525ae73090dffb886968f,PyInvestor,2,0,0,2,2,0,0
git@github.com:SebastianoF/bruker2nifti,4fbac970e9125f3e53dd5e31d63b971ad739a6d2,bruker2nifti,42,42,42,0,0,0,0
git@github.com:SectorLabs/django-db-connection-retrier,515deb6c00006251a29f1809ec723c989f3c1df5,django-db-connection-retrier,3,3,3,0,0,0,0
git@github.com:SekouD/mlconjug,840e990bd96b56785a68712e9729582ede168ec2,mlconjug,1,0,0,1,1,0,0
git@github.com:SergeyPirogov/webdriver_manager,82b4657acc02ab7b3977acc26cfc62ffede8dedc,webdriver_manager,50,50,33,0,0,0,0
git@github.com:SergeyShk/ruTS,af02f627d9022f0f4825d9bed4ffc97d3d329f2d,ruTS,113,113,113,0,0,0,0
git@github.com:SimPyClassic/SimPyClassic,b59fb83742e484f2c590ed005ac911868727d59d,SimPyClassic,649,524,83,125,125,0,0
git@github.com:Stratoscale/skipper,dde3194bf6cf227b30c6e54b18c37317d2e0647e,strato-skipper,86,0,0,86,86,0,0
git@github.com:Suenweek/async-vk-api,d10cdde800e4921e13f6d258d7a9f72bb4eeb37e,async-vk-api,8,8,7,0,0,0,0
git@github.com:SurrealAI/symphony,747b87eee20d48032b4a554950687d0b1209fd24,symphony,29,8,8,21,21,1,1
git@github.com:SuryaSankar/flask-sqlalchemy-booster,e43980e29a18e725d791b87ce1b677470bbaf22c,flask-sqlalchemy-booster,12,12,12,0,0,3,3
git@github.com:Sylhare/gitlab_stats,23fbc53f30e09c122ebe8259ef6850756e454d7e,gitlab-stats,41,0,0,41,41,0,0
git@github.com:Teamworksapp/pydbvolve,e18bb8cf98997c52de0cf30a8e106c480ba0bb57,pydbvolve,64,64,64,0,0,2,2
git@github.com:Teamworksapp/region_cache,8b2ae3ce4bb348c23a84d5fec546609e80579b94,region_cache,75,75,15,0,0,0,0
git@github.com:Tedyst/HikLoad,b3eb7be65bd34040992e1b7b15f23ff4ce2e8dc4,HikLoad,2,2,2,0,0,0,0
git@github.com:Tencent/QTAF,c9141e8fbdfd89f5f13dd59dfab17f9e8193dcf8,QTAF,84,0,0,84,84,0,0
git@github.com:Tetrite/cBinder,940e8c78eb9cf2eda1bc69427a6279b8b832bfe1,cBinder,97,0,0,97,97,0,0
git@github.com:TheBestMoshe/hebcal,7d77d2137684342b91fa7402cc357316f23dcfa1,hebcal,27,27,27,0,0,0,0
git@github.com:TheodoreKrypton/JavPy,61df53aafbfbd05ed1efa8c51a08d6e9252cb533,JavPy,51,51,30,0,0,0,0
git@github.com:TralahM/pympesa,46839de00a868db0e674c6733d5daaf83293f588,pympesa,10,0,0,10,10,0,0
git@github.com:UNCG-DAISY/psi-collect,a7840fbb18cb78ce2b8c842c62199d8b9d01cb6a,psi-collect,1,0,0,1,1,0,0
git@github.com:Varkal/chuda,bd4d30c0f809d5349752ab2f322f30b01ab6b4a4,chuda,68,68,28,0,0,0,0
git@github.com:VictorDavis/legomena,274de31fdf345d440f1f8d6cb58eba836637e5a4,legomena,9,0,0,9,9,0,0
git@github.com:Vnet-as/myr-base,56e347b4f4d70f53a6afe55e96c1f9e35f5454eb,myr-base,4,4,4,0,0,0,0
git@github.com:WCraaS/wcraas_common,af209ab412c18473edfaaf2871eef9c0357b91e9,wcraas_common,1,0,0,1,1,0,0
git@github.com:WFRT/verif,dd4df8e5709e9ec1a8fe129fe9a14d4f63d93643,verif,157,0,0,157,157,0,0
git@github.com:Wats0ns/pypfm,78cccd19d7dbc73e54f8ae915c8a9a36310a8950,pypfm,1,0,0,1,1,0,0
git@github.com:WeAreDevelopers-com/extractpdf,2a1ee7640da0e9f46ae6bef7f6aeb1eb36c5f185,extractpdf,7,0,0,7,7,0,0
git@github.com:WilliamJudge94/sxdm,01414186626e1f22d51a7d25fe73f64680cb796e,sxdm,9,0,0,9,9,0,0
git@github.com:Windsooon/cherry,bc6ae1f0284d837fb95279098538530312313534,cherry,34,0,0,34,34,0,0
git@github.com:Xarrow/weibo-scraper,8d1ffc9060ae7ddba217093c23ab8111f9b351c8,weibo-scraper,14,0,0,14,14,0,0
git@github.com:Xuerui-Yang/jmcm,e82574eaad2195944ec1899a41de238f8948f554,jmcm,5,5,5,0,0,0,0
git@github.com:Yelp/kafka-utils,bde091515d1dcdd56b9272a3ab01b54742a60253,kafka-utils,498,498,471,0,0,2,2
git@github.com:Zabamund/wellpathpy,f29b14a9a1c46e77ea98b141e3cdc43674654ea2,wellpathpy,113,113,107,0,0,1,1
git@github.com:Zedelghem/spyProt,e2d978ce68ab9449acfc39dcc05b54d0c41460f6,spyProt,3,0,0,3,3,0,0
git@github.com:Zomojo/compiletools,e45c5ad452b86c1fe557961aa4ebefd3f34f6a58,compiletools,40,0,0,40,40,0,0
git@github.com:aaronn/django-rest-framework-passwordless,7fe00dfbef8d163078160c7f317b26ed630fc8cc,django-rest-framework-passwordless,25,0,0,25,25,0,0
git@github.com:abeelen/nikamap,d39c488c89bf5d90fffe3c05580fc13551522ee5,nikamap,96,96,52,0,0,1,1
git@github.com:abhinavsingh/proxy.py,9b4263777bea7b3e00a1a3546511f2117f210a2b,proxy.py,121,0,0,121,121,0,0
git@github.com:aboucaud/pypher,32f606ded9276ab28c86aefadd8b9261de10aebe,pypher,28,28,16,0,0,0,0
git@github.com:acsone/odoo-autodiscover,b7c6869ec34a7c141b207abc0971eadccd3a0316,odoo-autodiscover,14,14,1,0,0,0,0
git@github.com:acsone/setuptools-odoo,f3a0d7132c187a5c5620e6cf3ecae70b90831f7c,setuptools-odoo,33,15,15,18,18,0,0
git@github.com:adamcaudill/yawast,5e9e7a37831c030530adb971925ee135e9bfcafb,yawast,7,0,0,7,7,0,0
git@github.com:addisonlynch/iexfinance,e502c671643a10121dd423c5665adc56b982199b,iexfinance,279,279,136,0,0,0,0
git@github.com:adlibre/python-bureaucrat,530ceb2b3e69ea8645ecd3687c58d2c7b47a24fe,python-bureaucrat,4,4,4,0,0,0,0
git@github.com:agile4you/bottle-neck.git,ebc670a4b178255473d68e9b4122ba04e38f4810,bottle-neck.git,21,21,21,0,0,1,1
git@github.com:aguiardafa/projetopytools,fffbd8090b30395ffc1294e0e28348d4fde10e85,projetopytools,16,16,12,0,0,0,0
git@github.com:aguinane/bomweather,cfe945a64900a9207a44c42551ec2c365916b7d2,bomweather,6,6,6,0,0,0,0
git@github.com:ahopkins/pydiggy,29bd5694f2e4564118683f3ccc06c5f7128d3028,pydiggy,5,4,4,1,1,0,0
git@github.com:aioworkers/aioworkers-mongo,552d7721c244740fb101c25f1ae4e1f6c7d04357,aioworkers-mongo,6,2,2,4,4,0,0
git@github.com:aioworkers/aioworkers-orm,a470eaf2298e30b6c8e1e91034e50c064f07a3de,aioworkers-orm,30,9,9,21,21,0,0
git@github.com:aioworkers/aioworkers-prometheus,91915e094239ae01b3db432dbff5afd34ab36984,aioworkers-prometheus,17,2,2,15,15,2,2
git@github.com:aioworkers/aioworkers-tg,eccd0704c6b98956aa4a9f0dc89b1300138d113e,aioworkers-tg,2,0,0,2,2,0,0
git@github.com:airbrake/pybrake,9bf82941d8bf521055b258cea91596a11e4eb81f,pybrake,39,39,27,0,0,1,1
git@github.com:airspeed-velocity/asv,a131ca742daf53c4521fbfefeb53507b5c140c84,asv,215,215,181,0,0,0,0
git@github.com:aitgon/wopmars,33680f94163d82ce43557cf7f87a5f9ead496fdc,wopmars,54,0,0,54,54,0,0
git@github.com:alecthomas/importmagic,c00f2b282d933e0a9780146a20792f9e31fc8e6f,importmagic,74,74,74,0,0,0,0
git@github.com:alefnula/tea,f5a0a724a425ec4f9dd2c7fe966ef06faf3a15a3,tea,123,95,53,28,28,0,0
git@github.com:alejgh/pylat,7fcb1220dd8464ec5b6fb36449ecd2fe9f9927d0,pylat,9,0,0,9,9,0,0
git@github.com:alexandrainst/danlp,0c7169e4c8b0595205fbb7bdf64ce4f2ca79edcc,danlp,26,0,0,26,26,0,0
git@github.com:alexrudy/supertunnel,4c64e2fedda3382b809a2c3d01c711ec4961f933,supertunnel,80,80,40,0,0,0,0
git@github.com:alfacoins/alfacoins-api-python,e0ae740812693bb42a729aa809358233130987a1,alfacoins-api-python,10,0,0,10,10,0,0
git@github.com:aluriak/genhtml-markdown,67c903bce9e85184a5897bdc78106a8f2ec24902,genhtml-markdown,4,4,4,0,0,0,0
git@github.com:aluttik/kitsune,43824cccf46f433a71b30a7febc0e3500b831067,kitsune,2,2,2,0,0,1,1
git@github.com:amogorkon/fuzzylogic,58bd23aeb4b6bf39bd950bcf468b0c2f5c649e69,fuzzylogic,58,3,3,55,55,0,0
git@github.com:andim/noisyopt,625b874918ac5926c3bf05d869e914cbddfffe20,noisyopt,6,6,6,0,0,0,0
git@github.com:andreycizov/python-xrpc,ed403ae74d5e89e0ebac68bcc58591d6b32742ff,python-xrpc,102,0,0,102,102,0,0
git@github.com:arose13/rosey,c35398b4ad4f334f4b40a075d18b33a262ce1d7d,rosey,4,4,4,0,0,0,0
git@github.com:ashon/metropolis,2ef1b672bb22ffac2fe6d10d2b96393fc4f76729,metropolis,9,0,0,9,9,0,0
git@github.com:astropenguin/ndradex,0d1a1ed52296f7d4d38254ad081aabff8e923182,ndradex,1,0,0,1,1,0,0
